player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition
kRQabOWgMK,Andrew Wenger,1990-12-25,USA,MF,W,,,"['2013', '2014', '2015', '2016', '2017', '2018']",6.0,0.0,185.0,mls
kRQabOZYMK,Tyler Blackett,1994-04-02,England,DF,CB,,,"['2021', '2022']",6.0,0.0,168.0,mls
kRQabvJjMK,Cristian Techera,1992-05-31,Uruguay,MF,W,,,"['2015', '2016', '2017', '2018']",5.0,2.0,170.0,mls
kRQabvYbMK,Walker Zimmerman,1993-05-19,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",6.0,2.0,192.0,mls
kRQabXDmMK,Yony González,1994-07-11,Colombia,FW,ST,MF,W,2020,6.0,0.0,165.0,mls
kRQabyN8MK,Jonathan Rodríguez,1993-07-06,Uruguay,MF,W,,,2024,5.0,11.0,172.0,mls
kRQabyPjMK,Miguel Araujo,1994-10-24,Peru,DF,CB,,,"['2023', '2024']",5.0,10.0,157.0,mls
kRQabYwjMK,Corentin Jean,1995-07-15,France,MF,W,,,"['2022', '2023']",5.0,7.0,143.0,mls
kRQabZyoMK,Caleb Stanko,1993-07-26,USA,MF,CM,,DM,"['2019', '2020', '2021']",5.0,11.0,179.0,mls
kRQadBoqKZ,Chris Tierney,1986-01-09,USA,DF,FB,,,"['2013', '2014', '2015', '2016', '2017', '2018']",6.0,0.0,172.0,mls
kRQaerljQK,Jack Lynn,2000-01-12,USA,FW,ST,,,"['2022', '2023', '2024']",6.0,1.0,174.0,mls
kRQaerNYQK,Christopher Lee,2001-08-14,Canada,,,,,{},,,,mls
kRQaeyE1QK,Mustafa Kizza,1999-09-03,Uganda,DF,FB,,,"['2020', '2021']",6.0,1.0,,mls
kRQaG3Y5KZ,Vincent Nogueira,1988-01-16,France,MF,DM,,,"['2014', '2015', '2016']",5.0,7.0,141.0,mls
kRQajLmMKZ,Hernán Grana,1985-04-12,Argentina,DF,FB,,,"['2015', '2017']",5.0,7.0,152.0,mls
kRQao63j5K,London Aghedo,2000-05-31,USA,DF,CB,,,2024,,,,mls
kRQao82b5K,Jason Beaulieu,1994-02-12,Canada,,,,,{},6.0,4.0,201.0,mls
kRQaoj6O5K,Dylan Borrero,2002-01-05,Colombia,MF,W,,,"['2022', '2023', '2024']",5.0,11.0,146.0,mls
kRQaonbo5K,Patrick Schulte,2001-03-13,USA,GK,GK,,,"['2023', '2024']",6.0,3.0,174.0,mls
kRQaoNZj5K,Miguel Berry,1997-09-16,Spain,FW,ST,,,"['2021', '2022', '2023', '2024']",6.0,3.0,181.0,mls
kRQaoox15K,Daron Iskenderian,2002-03-19,USA,,,,,{},5.0,10.0,154.0,mls
kRQaopnY5K,David Schnegg,1998-09-29,Austria,DF,FB,,,2024,6.0,1.0,176.0,mls
kRQaor8O5K,Georgios Koutsias,2004-02-08,Greece,FW,ST,,,"['2023', '2024']",5.0,11.0,163.0,mls
kRQaoRPO5K,Isaac Boehmer,2001-11-20,USA,GK,GK,,,"['2022', '2024']",6.0,2.0,185.0,mls
kRQaovVo5K,Gabriel Pec,2001-02-11,Brazil,FW,W,MF,W,2024,5.0,10.0,139.0,mls
kRQaoZOb5K,Modesto Mendez,1998-01-06,Cuba,,,,,{},6.0,2.0,168.0,mls
kRQaWA2b5K,Cruz Medina,2006-09-24,USA,,,,,{},,,,mls
kRQax61qKZ,Fredrik Gulbrandsen,1992-09-10,Norway,FW,ST,,,2017,5.0,10.0,165.0,mls
kRQay0LQKZ,Andy Najar,1993-03-16,Honduras,DF,FB,,CB,"['2020', '2021', '2022', '2023']",5.0,7.0,150.0,mls
kRQaYKkQKZ,Jeff Parke,1982-03-23,USA,DF,CB,,,"['2013', '2014']",6.0,1.0,185.0,mls
kRQaYR8QKZ,Dominic Oduro,1985-08-13,Ghana,MF,W,FW,ST,"['2013', '2014', '2015', '2016', '2017', '2018']",6.0,0.0,161.0,mls
kRQayrjQKZ,Nicolas Isimat-Mirin,1991-11-15,France,DF,CB,,,"['2021', '2022']",6.0,2.0,181.0,mls
kRQazJjMKZ,Facundo Coria,1987-05-28,Argentina,FW,ST,MF,W,2015,5.0,11.0,172.0,mls
KXMe39a6q6,Andrew Rick,2006-01-30,USA,GK,GK,,,2024,,,,mls
KXMe3Ay3q6,Charlie Staniland,2004-07-19,England,,,,,{},,,,mls
KXMe3y6vq6,Brooklyn Raines,2005-03-11,USA,MF,CM,,DM,"['2022', '2023', '2024']",5.0,8.0,139.0,mls
KXMe4kPQ64,Marcus Tracy,1986-10-02,USA,FW,ST,MF,CM,2013,6.0,1.0,172.0,mls
KXMe4l1Q64,Alejandro Bedoya,1987-04-29,USA,MF,CM,,,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,10.0,161.0,mls
KXMe4RvQ64,Andrew Weber,1983-08-09,USA,GK,GK,,,"['2013', '2014', '2015']",6.0,2.0,192.0,mls
KXMe4W2Q64,Philip Lund,1989-09-05,Denmark,FW,ST,,,2013,5.0,9.0,159.0,mls
KXMe4YxQ64,Danilo Silva,1986-11-24,Brazil,DF,CB,,,"['2018', '2019', '2020']",6.0,1.0,181.0,mls
KXMe87ZPQ6,Ralph Priso,2002-08-02,Canada,MF,DM,,CM,"['2020', '2021', '2022', '2023', '2024']",5.0,9.0,170.0,mls
KXMe8BVrQ6,Jefferson Valverde,1999-05-04,Ecuador,DF,FB,,,2024,,,,mls
KXMe8EJ6Q6,Pedro Vite,2002-03-09,Ecuador,MF,CM,,,"['2022', '2023', '2024']",5.0,6.0,152.0,mls
KXMe8ejPQ6,Jeremy Rafanello,2000-04-14,USA,MF,AM,,,"['2023', '2024']",6.0,0.0,161.0,mls
KXMe8EkQ64,Lewis Neal,1981-07-14,England,MF,W,,,"['2013', '2014', '2015']",5.0,11.0,157.0,mls
KXMe8evxQ6,Joe Scally,2002-12-31,USA,DF,FB,,,2020,6.0,0.0,176.0,mls
KXMe8EW1Q6,Daryl Dike,2000-06-03,USA,FW,ST,,,"['2020', '2021']",6.0,2.0,,mls
KXMe8gorQ6,Javier Casas,2003-05-14,USA,MF,DM,,,"['2021', '2022', '2023', '2024']",5.0,4.0,143.0,mls
KXMe8gzPQ6,Luquinhas,1996-09-28,Brazil,MF,W,,AM,"['2022', '2023']",5.0,7.0,132.0,mls
KXMe8JD2Q6,Pedro Amador,1998-12-18,Portugal,DF,FB,,,2024,5.0,11.0,161.0,mls
KXMe8JN3Q6,Julio Benitez,2005-07-30,USA,,,,,{},5.0,8.0,139.0,mls
KXMe8jYxQ6,Serge Ngoma,2005-07-09,USA,MF,W,,,"['2022', '2023', '2024']",,,,mls
KXMe8WD1Q6,Facundo Farías,2002-08-28,Argentina,FW,W,,ST,2023,,,,mls
KXMe8Y2vQ6,Justin Che,2003-11-18,USA,DF,FB,,,2021,5.0,4.0,159.0,mls
KXMe8YjPQ6,Edwin Mosquera,2001-06-27,Colombia,MF,W,,,"['2022', '2023', '2024']",5.0,7.0,128.0,mls
KXMe8zRPQ6,Sami Guediri,1997-08-18,USA,DF,FB,,,"['2021', '2022']",5.0,11.0,170.0,mls
KXMeA6PM64,Logan Pause,1981-08-22,USA,MF,CM,,,"['2013', '2014']",5.0,10.0,157.0,mls
KXMeAavM64,Bobby Boswell,1983-03-15,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017']",6.0,2.0,185.0,mls
KXMeAokM64,Bobby Burling,1984-10-15,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017']",6.0,5.0,196.0,mls
KXMeAPkM64,Dax McCarty,1987-04-30,USA,MF,DM,,CM,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,9.0,152.0,mls
KXMedXBQ64,Bradley Wright-Phillips,1985-03-12,England,FW,ST,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']",5.0,8.0,157.0,mls
KXMeEzPM64,Efraín Juárez,1988-02-22,Mexico,MF,CM,,,2018,5.0,9.0,137.0,mls
KXMeggl2q6,Duncan McGuire,2001-02-05,USA,FW,ST,,,"['2023', '2024']",,,,mls
KXMegX31q6,Tyger Smalls,2001-09-18,England,FW,W,MF,W,2024,,,,mls
KXMegxG1q6,Simon Jillson,1999-10-11,USA,,,,,{},6.0,4.0,,mls
KXMegy63q6,Keller Storlie,,USA,,,,,{},,,,mls
KXMek263q6,Sam Johnson,1993-05-06,Liberia,FW,ST,,,"['2019', '2020']",5.0,10.0,163.0,mls
KXMeke41q6,Robert Taylor,1994-10-21,Finland,MF,W,,,"['2022', '2023', '2024']",6.0,0.0,172.0,mls
KXMekg02q6,Xavier Arreaga,1994-09-28,Ecuador,DF,CB,,,"['2019', '2020', '2021', '2022', '2023', '2024']",6.0,0.0,165.0,mls
KXMekgE6q6,Cyle Larin,1995-04-17,Canada,FW,ST,,,"['2015', '2016', '2017']",6.0,2.0,190.0,mls
KXMeklJ1q6,Taty Castellanos,1998-10-03,Argentina,FW,ST,,,"['2018', '2019', '2020', '2021', '2022']",5.0,10.0,154.0,mls
KXMekmrPq6,Josh Cohen,1992-08-18,USA,GK,GK,,,2024,6.0,1.0,174.0,mls
KXMekNYBq6,Tomas Ostrak,2000-02-05,Czech Republic,MF,W,,,"['2023', '2024']",5.0,9.0,165.0,mls
KXMeko9kq6,Charlie Asensio,2000-01-18,USA,,,,,{},5.0,8.0,150.0,mls
KXMekOprq6,Sebastián Driussi,1996-02-09,Argentina,MF,AM,,,"['2021', '2022', '2023', '2024']",5.0,10.0,176.0,mls
KXMekVbPq6,Jhonder Cádiz,1995-07-29,Venezuela,FW,ST,,,"['2020', '2021']",6.0,3.0,161.0,mls
KXMekw02q6,Rece Buckmaster,1996-07-07,USA,DF,FB,,,2019,5.0,8.0,137.0,mls
KXMekwe3q6,Enzo Copetti,1996-01-15,Argentina,FW,ST,,,"['2023', '2024']",5.0,10.0,163.0,mls
KXMekX42q6,Dejan Joveljic,1999-08-07,Serbia,FW,ST,,,"['2021', '2022', '2023', '2024']",5.0,11.0,165.0,mls
KXMekY1Xq6,Connor Sparrow,1994-05-10,USA,GK,GK,,,2020,6.0,2.0,181.0,mls
KXMekz9Pq6,Jeremy Kelly,1997-10-21,USA,DF,FB,,,2020,5.0,9.0,150.0,mls
KXMeO1kXq6,Gedion Zelalem,1997-01-26,USA,MF,CM,,DM,"['2019', '2020', '2021', '2022']",5.0,11.0,154.0,mls
KXMeO3bPq6,O'Brian Woodbine,1988-01-11,Jamaica,,,,,{},6.0,0.0,172.0,mls
KXMeO4D6q6,Christian Ortíz,1992-08-20,Argentina,MF,CM,FW,ST,2022,5.0,7.0,154.0,mls
KXMeOaaPq6,Emiliano Rigoni,1993-02-04,Argentina,MF,W,,,"['2022', '2023', '2024']",5.0,11.0,154.0,mls
